WD20CD,WD20NM,FID
E05012247,Willaston & Thornton,1708
E05009092,Woodhouse Close,1709
E05001721,Scartho,1710
E05009142,Ponteland East and Stannington,1711
E05009143,Ponteland North,1712
E05009144,Ponteland South with Heddon,1713
E05009145,Ponteland West,1714
E05009146,Prudhoe North,1715
E05009147,Prudhoe South,1716
E05009148,Rothbury,1717
E05009149,Seaton with Newbiggin West,1718
E05009150,Seghill with Seaton Delaval,1719
E05009151,Shilbottle,1720
E05009152,Sleekburn,1721
E05009153,South Blyth,1722
E05009154,South Tynedale,1723
E05009155,Stakeford,1724
E05009156,Stocksfield and Broomhaugh,1725
E05009157,Wensleydale,1726
E05009158,Wooler,1727
E05008610,Alderley Edge,1728
E05008611,Alsager,1729
E05008612,Audlem,1730
E05008613,Bollington,1731
E05008614,Brereton Rural,1732
E05008615,Broken Cross and Upton,1733
E05008616,Bunbury,1734
E05008617,Chelford,1735
E05008618,Congleton East,1736
E05008619,Congleton West,1737
E05008620,Crewe Central,1738
E05008621,Crewe East,1739
E05008622,Crewe North,1740
E05008623,Crewe St Barnabas,1741
E05008624,Crewe South,1742
E05008625,Crewe West,1743
E05008626,Dane Valley,1744
E05008627,Disley,1745
E05008628,Gawsworth,1746
E05008629,Handforth,1747
E05008630,Haslington,1748
E05008631,High Legh,1749
E05008632,Knutsford,1750
E05008633,Leighton,1751
E05008634,Macclesfield Central,1752
E05012248,Winsford Dene,1753
E05009093,Alnwick,1754
E05012249,Winsford Gravel,1755
E05011531,Drypool,1756
E05008643,Nantwich South and Stapeley,1757
E05009094,Amble,1758
E05012250,Winsford Over & Verdin,1759
E05011532,Holderness,1760
E05009042,Burnopfield and Dipton,1761
E05001722,Sidney Sussex,1762
E05008644,Odd Rode,1763
E05009095,Amble West with Warkworth,1764
E05012251,Winsford Swanlow,1765
E05011533,Ings,1766
E05009043,Chester-le-Street East,1767
E05001723,South,1768
E05008645,Poynton East and Pott Shrigley,1769
E05009096,Ashington Central,1770
E05012252,Winsford Wharton,1771
E05011534,Kingswood,1772
E05009044,Chester-le-Street North,1773
E05001724,Waltham,1774
E05008646,Poynton West and Adlington,1775
E05009097,Bamburgh,1776
E05012253,Wolverham,1777
E05011535,Longhill & Bilton Grange,1778
E05009045,Chester-le-Street South,1779
E05001725,West Marsh,1780
E05008647,Prestbury,1781
E05009098,Bedlington Central,1782
E05011508,Audley & Queen's Park,1783
E05011536,Marfleet,1784
E05009046,Chester-le-Street West Central,1785
E05001726,Wolds,1786
E05008648,Sandbach Elworth,1787
E05009099,Bedlington East,1788
E05011509,Bastwell & Daisyfield,1789
E05011537,Newington & Gipsyville,1790
E05009047,Chilton,1791
E05001727,Yarborough,1792
E05008649,Sandbach Ettiley Heath and Wheelock,1793
E05009100,Bedlington West,1794
E05011510,Billinge & Beardwood,1795
E05011538,North Carr,1796
E05009048,Consett North,1797
E05001728,Ashby,1798
E05008650,Sandbach Heath and East,1799
E05009101,Bellingham,1800
E05011511,Blackburn Central,1801
E05011539,Orchard Park,1802
E05009049,Consett South,1803
E05001729,Axholme Central,1804
E05008651,Sandbach Town,1805
E05009102,Berwick East,1806
E05011512,Blackburn South & Lower Darwen,1807
E05011540,Pickering,1808
E05009050,Coundon,1809
E05001730,Axholme North,1810
E05008652,Shavington,1811
E05009103,Berwick North,1812
E05009104,Berwick West with Ord,1813
E05009105,Bothal,1814
E05009106,Bywell,1815
E05009107,Choppington,1816
E05009108,College,1817
E05009109,Corbridge,1818
E05009110,Cowpen,1819
E05009111,Cramlington East,1820
E05009112,Cramlington Eastfield,1821
E05009113,Cramlington North,1822
E05009114,Cramlington South East,1823
E05009115,Cramlington Village,1824
E05009116,Cramlington West,1825
E05009117,Croft,1826
E05009118,Druridge Bay,1827
E05009119,Haltwhistle,1828
E05009120,Hartley,1829
E05009121,Haydon,1830
E05009122,Haydon and Hadrian,1831
E05009123,Hexham Central with Acomb,1832
E05009124,Hexham East,1833
E05009125,Hexham West,1834
E05009126,Hirst,1835
E05009127,Holywell,1836
E05009128,Humshaugh,1837
E05009129,Isabella,1838
E05009130,Kitty Brewster,1839
E05009131,Longhorsley,1840
E05009132,Longhoughton,1841
E05009133,Lynemouth,1842
E05011513,Blackburn South East,1843
E05011541,St Andrew's & Docklands,1844
E05008653,Sutton,1845
E05011514,Darwen East,1846
E05001731,Axholme South,1847
E05009051,Coxhoe,1848
E05011542,Southcoates,1849
E05008654,Willaston and Rope,1850
E05011515,Darwen South,1851
E05001732,Barton,1852
E05009052,Craghead and South Moor,1853
E05011543,Sutton,1854
E05008655,Wilmslow Dean Row,1855
E05011516,Darwen West,1856
E05001733,Bottesford,1857
E05009053,Crook,1858
E05011544,University,1859
E05008656,Wilmslow East,1860
E05011517,Ewood,1861
E05001734,Brigg and Wolds,1862
E05009054,Dawdon,1863
E05011545,West Carr,1864
E05008657,Wilmslow Lacey Green,1865
E05011518,Little Harwood & Whitebirk,1866
E05001735,Broughton and Appleby,1867
E05009055,Deerness,1868
E05001687,Beverley Rural,1869
E05008658,Wilmslow West and Chorley,1870
E05011519,Livesey with Pleasington,1871
E05001736,Brumby,1872
E05009056,Delves Lane,1873
E05001688,Bridlington Central and Old Town,1874
E05008659,Wistaston,1875
E05011520,Mill Hill & Moorgate,1876
E05001737,Burringham and Gunness,1877
E05009057,Deneside,1878
E05001689,Bridlington North,1879
E05008660,Wrenbury,1880
E05011521,Roe Lee,1881
E05001738,Burton upon Stather and Winterton,1882
E05009058,Durham South,1883
E05001690,Bridlington South,1884
E05008661,Wybunbury,1885
E05011522,Shear Brow & Corporation Park,1886
E05001739,Crosby and Park,1887
E05009059,Easington,1888
E05001691,Cottingham North,1889
E05001577,Appleton,1890
E05011523,Wensley Fold,1891
E05001740,Ferry,1892
E05009060,Elvet and Gilesgate,1893
E05001692,Cottingham South,1894
E05001578,Beechwood,1895
E05011524,West Pennine,1896
E05001741,Frodingham,1897
E05009061,Esh and Witton Gilbert,1898
E05001693,Dale,1899
E05001579,Birchfield,1900
E05001643,Anchorsholme,1901
E05001742,Kingsway with Lincoln Gardens,1902
E05009062,Evenwood,1903
E05001694,Driffield and Rural,1904
E05001580,Broadheath,1905
E05001644,Bispham,1906
E05001743,Ridge,1907
E05009063,Ferryhill,1908
E05001695,East Wolds and Coastal,1909
E05001581,Halton Castle,1910
E05001645,Bloomfield,1911
E05001744,Town,1912
E05009064,Framwellgate and Newton Hall,1913
E05001696,Goole North,1914
E05001582,Daresbury,1915
E05001583,Ditton,1916
E05001584,Farnworth,1917
E05001585,Grange,1918
E05001586,Hale,1919
E05001587,Halton Brook,1920
E05001588,Halton Lea,1921
E05001589,Halton View,1922
E05001590,Heath,1923
E05001591,Hough Green,1924
E05001592,Kingsway,1925
E05001593,Mersey,1926
E05001594,Norton North,1927
E05001595,Norton South,1928
E05001596,Riverside,1929
E05001597,Windmill Hill,1930
E05011024,Appleton,1931
E05011025,Bewsey and Whitecross,1932
E05001646,Brunswick,1933
E05001697,Goole South,1934
E05001647,Claremont,1935
E05009065,Horden,1936
E05010311,Acomb,1937
E05001698,Hessle,1938
E05001648,Clifton,1939
E05009066,Lanchester,1940
E05010312,Bishopthorpe,1941
E05001699,Howden,1942
E05001649,Greenlands,1943
E05009067,Leadgate and Medomsley,1944
E05010313,Clifton,1945
E05001700,Howdenshire,1946
E05001650,Hawes Side,1947
E05009068,Lumley,1948
E05010314,Copmanthorpe,1949
E05001701,Mid Holderness,1950
E05001651,Highfield,1951
E05009069,Murton,1952
E05010315,Dringhouses & Woodthorpe,1953
E05001702,Minster and Woodmansey,1954
E05001652,Ingthorpe,1955
E05009070,Neville's Cross,1956
E05010316,Fishergate,1957
E05001703,North Holderness,1958
E05001653,Layton,1959
E05009071,North Lodge,1960
E05010317,Fulford & Heslington,1961
E05001704,Pocklington Provincial,1962
E05001654,Marton,1963
E05009072,Passfield,1964
E05010318,Guildhall,1965
E05001705,St Mary's,1966
E05001655,Norbreck,1967
E05009073,Pelton,1968
E05010319,Haxby & Wigginton,1969
E05001706,"Snaith, Airmyn, Rawcliffe and Marshland",1970
E05001656,Park,1971
E05009074,Peterlee East,1972
E05010320,Heworth,1973
E05001707,South East Holderness,1974
E05001657,Squires Gate,1975
E05009075,Peterlee West,1976
E05010321,Heworth Without,1977
E05001708,South Hunsley,1978
E05001658,Stanley,1979
E05009076,Sacriston,1980
E05010322,Holgate,1981
E05001709,South West Holderness,1982
E05001659,Talbot,1983
E05009077,Seaham,1984
E05010323,Hull Road,1985
E05001710,Tranby,1986
E05001660,Tyldesley,1987
E05009078,Sedgefield,1988
E05010324,Huntington & New Earswick,1989
E05001711,Willerby and Kirk Ella,1990
E05009079,Sherburn,1991
E05010325,Micklegate,1992
E05001712,Wolds Weighton,1993
E05009080,Shildon and Dene Valley,1994
E05010326,Osbaldwick & Derwent,1995
E05009081,Shotton and South Hetton,1996
E05010327,Rawcliffe & Clifton Without,1997
E05009082,Spennymoor,1998
E05010328,Rural West York,1999
E05009083,Stanley,2000
E05012641,Oakham North East,2001
E05010300,Weston-super-Mare Kewstoke,2002
E05012642,Oakham North West,2003
E05010301,Weston-super-Mare Mid Worle,2004
E05010302,Weston-super-Mare Milton,2005
E05012643,Oakham South,2006
E05010303,Weston-super-Mare North Worle,2007
E05009284,Oswestry West,2008
E05010304,Weston-super-Mare South Worle,2009
E05012644,Ryhall & Casterton,2010
E05010305,Weston-super-Mare Uphill,2011
E05008178,Porthill,2012
E05012645,Uppingham,2013
E05010306,Weston-super-Mare Winterstoke,2014
E05008179,Prees,2015
E05012646,Whissendine,2016
E05010307,Wick St Lawrence & St Georges,2017
E05010893,Clifton,2018
E05009462,Kerne Bridge,2019
E05008742,Meir Park,2020
E05009987,Oakengates & Ketley Bank,2021
E05008180,Quarry and Coton Hill,2022
E05008181,Radbrook,2023
E05009285,Ruyton and Baschurch,2024
E05008183,St Martin's,2025
E05009286,St Oswald,2026
E05009281,"Gobowen, Selattyn and Weston Rhyn",2027
E05008186,Severn Valley,2028
E05008187,Shawbury,2029
E05008188,Shifnal North,2030
E05008189,Shifnal South and Cosford,2031
E05008190,Sundorne,2032
E05008191,Tern,2033
E05008192,The Meres,2034
E05008193,Underdale,2035
E05008194,Wem,2036
E05008195,Whitchurch North,2037
E05008196,Whitchurch South,2038
E05009287,Whittington,2039
E05008198,Worfield,2040
E05008714,Abbey Hulton and Townsend,2041
E05008715,"Baddeley, Milton and Norton",2042
E05008716,Bentilee and Ubberley,2043
E05008717,Birches Head and Central Forest Park,2044
E05008718,Blurton East,2045
E05008719,Blurton West and Newstead,2046
E05008720,Boothen and Oak Hill,2047
E05008721,Bradeley and Chell Heath,2048
E05008722,Broadway and Longton East,2049
E05008723,Burslem Central,2050
E05008724,Burslem Park,2051
E05008725,Dresden and Florence,2052
E05008726,Eaton Park,2053
E05008727,Etruria and Hanley,2054
E05008728,Fenton East,2055
E05008729,Fenton West and Mount Pleasant,2056
E05008730,Ford Green and Smallthorne,2057
E05008731,Goldenhill and Sandyford,2058
E05008732,Great Chell and Packmoor,2059
E05008733,Hanford and Trentham,2060
E05008734,Hanley Park and Shelton,2061
E05008735,Hartshill and Basford,2062
E05008736,Hollybush and Longton West,2063
E05008737,Joiner's Square,2064
E05008738,Lightwood North and Normacot,2065
E05008739,Little Chell and Stanfield,2066
E05008740,Meir Hay,2067
E05008741,Meir North,2068
E05010329,Strensall,2069
E05009463,Kings Acre,2070
E05008743,Meir South,2071
E05010330,Westfield,2072
E05010308,Winford,2073
E05010894,Clifton Down,2074
E05009988,Park,2075
E05012270,Aspley,2076
E05009464,Kington,2077
E05008744,Moorcroft,2078
E05010331,Wheldrake,2079
E05010309,Wrington,2080
E05010895,Cotham,2081
E05009989,Priorslee,2082
E05012271,Basford,2083
E05009465,Ledbury North,2084
E05008745,Penkhull and Stoke,2085
E05001767,Abbey,2086
E05010310,Yatton,2087
E05010896,Easton,2088
E05009990,St Georges,2089
E05012272,Berridge,2090
E05009466,Ledbury South,2091
E05008746,Sandford Hill,2092
E05001768,Allestree,2093
E05012104,Bitton & Oldland Common,2094
E05010897,Eastville,2095
E05009991,Shawbirch,2096
E05012273,Bestwood,2097
E05009467,Ledbury West,2098
E05001769,Alvaston,2099
E05008747,Sneyd Green,2100
E05012105,Boyd Valley,2101
E05010898,Filwood,2102
E05009992,The Nedge,2103
E05012274,Bilborough,2104
E05009468,Leominster East,2105
E05001770,Arboretum,2106
E05008748,Springfields and Trent Vale,2107
E05012106,Bradley Stoke North,2108
E05010899,Frome Vale,2109
E05009993,Woodside,2110
E05012275,Bulwell,2111
E05009469,Leominster North & Rural,2112
E05001771,Blagreaves,2113
E05008749,Tunstall,2114
E05012107,Bradley Stoke South,2115
E05010900,Hartcliffe and Withywood,2116
E05009994,Wrockwardine,2117
E05012276,Bulwell Forest,2118
E05009470,Leominster South,2119
E05001772,Boulton,2120
E05008750,Weston Coyney,2121
E05012108,Charfield,2122
E05010901,Henbury and Brentry,2123
E05009995,Wrockwardine Wood & Trench,2124
E05008136,Abbey,2125
E05008137,Albrighton,2126
E05008138,Alveley and Claverley,2127
E05008139,Bagley,2128
E05008140,Battlefield,2129
E05008141,"Bayston Hill, Column and Sutton",2130
E05008142,Belle Vue,2131
E05008143,Bishop's Castle,2132
E05008144,Bowbrook,2133
E05008145,Bridgnorth East and Astley Abbotts,2134
E05008146,Bridgnorth West and Tasley,2135
E05008147,Broseley,2136
E05008148,Brown Clee,2137
E05008149,Burnell,2138
E05008150,Castlefields and Ditherington,2139
E05008151,Cheswardine,2140
E05008152,Chirbury and Worthen,2141
E05008153,Church Stretton and Craven Arms,2142
E05008154,Clee,2143
E05008155,Cleobury Mortimer,2144
E05008156,Clun,2145
E05008157,Copthorne,2146
E05008158,Corvedale,2147
E05008159,Ellesmere Urban,2148
E05008160,Harlescott,2149
E05008161,Highley,2150
E05008162,Hodnet,2151
E05008163,Llanymynech,2152
E05008164,Longden,2153
E05008165,Loton,2154
E05008166,Ludlow East,2155
E05008167,Ludlow North,2156
E05008168,Ludlow South,2157
E05008169,Market Drayton East,2158
E05008170,Market Drayton West,2159
E05008171,Meole,2160
E05008172,Rea Valley,2161
E05008173,Monkmoor,2162
E05008174,Much Wenlock,2163
E05009282,Oswestry East,2164
E05009283,Oswestry South,2165
E05009471,Leominster West,2166
E05012461,Bathavon North,2167
E05012277,Castle,2168
E05009472,Llangarron,2169
E05012109,Charlton & Cribbs,2170
E05012462,Bathavon South,2171
E05012278,Clifton East,2172
E05009473,Mortimer,2173
E05001773,Chaddesden,2174
E05010902,Hengrove and Whitchurch Park,2175
E05012110,Chipping Sodbury & Cotswold Edge,2176
E05012463,Bathwick,2177
E05012279,Clifton West,2178
E05009474,Newton Farm,2179
E05001774,Chellaston,2180
E05010903,Hillfields,2181
E05012111,Dodington,2182
E05012464,Chew Valley,2183
E05012280,Dales,2184
E05009475,Old Gore,2185
E05001775,Darley,2186
E05010904,Horfield,2187
E05012112,Emersons Green,2188
E05012465,Clutton & Farmborough,2189
E05012281,Hyson Green & Arboretum,2190
E05009476,Penyard,2191
E05001776,Derwent,2192
E05010905,Hotwells and Harbourside,2193
E05012113,Filton,2194
E05012466,Combe Down,2195
E05012282,Leen Valley,2196
E05012958,Queenswood,2197
E05001777,Littleover,2198
E05010906,Knowle,2199
E05012114,Frampton Cotterell,2200
E05012467,High Littleton,2201
E05012283,Lenton & Wollaton East,2202
E05009478,Red Hill,2203
E05001778,Mackworth,2204
E05010907,Lawrence Hill,2205
E05012115,Frenchay & Downend,2206
E05012468,Keynsham East,2207
E05012284,Mapperley,2208
E05009479,Ross East,2209
E05001779,Mickleover,2210
E05010908,Lockleaze,2211
E05012116,Hanham,2212
E05012469,Keynsham North,2213
E05012285,Meadows,2214
E05009480,Ross North,2215
E05001780,Normanton,2216
E05010909,Redland,2217
E05012117,Kingswood,2218
E05012470,Keynsham South,2219
E05012286,Radford,2220
E05009481,Ross West,2221
E05001781,Oakwood,2222
E05010910,St George Central,2223
E05012118,Longwell Green,2224
E05012471,Kingsmead,2225
E05012287,St. Ann's,2226
E05009482,Saxon Gate,2227
E05001782,Sinfin,2228
E05001783,Spondon,2229
E05010911,St George Troopers Hill,2230
E05010912,St George West,2231
E05010913,Southmead,2232
E05010914,Southville,2233
E05010915,Stockwood,2234
E05010916,Stoke Bishop,2235
E05010458,Abbey,2236
E05012472,Lambridge,2237
E05010459,Aylestone,2238
E05010917,Westbury-on-Trym and Henleaze,2239
E05012119,New Cheltenham,2240
E05012959,Stoney Street,2241
E05012288,Sherwood,2242
E05012960,Sutton Walls,2243
E05012120,Parkwall & Warmley,2244
E05012473,Lansdown,2245
E05010460,Beaumont Leys,2246
E05010918,Windmill Hill,2247
E05012289,Wollaton West,2248
E05009485,Three Crosses,2249
E05012121,Patchway Coniston,2250
E05012474,Mendip,2251
E05010461,Belgrave,2252
E05010276,Backwell,2253
E05009438,Arrow,2254
E05009486,Tupsley,2255
E05012122,Pilning & Severn Beach,2256
E05012475,Midsomer Norton North,2257
E05010462,Braunstone Park & Rowley Fields,2258
E05010277,Banwell & Winscombe,2259
E05009439,Aylestone Hill,2260
E05009487,Weobley,2261
E05012123,Severn Vale,2262
E05012476,Midsomer Norton Redfield,2263
E05010463,Castle,2264
E05010278,Blagdon & Churchill,2265
E05009440,Backbury,2266
E05009488,Whitecross,2267
E05012124,Staple Hill & Mangotsfield,2268
E05012477,Moorlands,2269
E05010464,Evington,2270
E05010279,Clevedon East,2271
E05009441,Belmont Rural,2272
E05009489,Widemarsh,2273
E05012125,Stoke Gifford,2274
E05012478,Newbridge,2275
E05010465,Eyres Monsell,2276
E05010280,Clevedon South,2277
E05009442,Birch,2278
E05009490,Wormside,2279
E05012126,Stoke Park & Cheswick,2280
E05012479,Odd Down,2281
E05010466,Fosse,2282
E05010281,Clevedon Walton,2283
E05009443,Bircher,2284
E05009966,Admaston & Bratton,2285
E05012127,Thornbury,2286
E05012480,Oldfield Park,2287
E05010467,Humberstone & Hamilton,2288
E05010282,Clevedon West,2289
E05009444,Bishops Frome & Cradley,2290
E05009967,Apley Castle,2291
E05012128,Winterbourne,2292
E05012481,Paulton,2293
E05010468,Knighton,2294
E05010283,Clevedon Yeo,2295
E05009445,Bobblestock,2296
E05009968,Arleston,2297
E05012129,Woodstock,2298
E05012482,Peasedown,2299
E05010469,North Evington,2300
E05010284,Congresbury & Puxton,2301
E05009446,Bromyard Bringsty,2302
E05009969,Brookside,2303
E05012130,Yate Central,2304
E05012483,Publow & Whitchurch,2305
E05010470,Rushey Mead,2306
E05010285,Gordano Valley,2307
E05009447,Bromyard West,2308
E05009970,Church Aston & Lilleshall,2309
E05012131,Yate North,2310
E05012484,Radstock,2311
E05010471,Saffron,2312
E05010286,Hutton & Locking,2313
E05009448,Castle,2314
E05009971,College,2315
E05009159,Altarnun,2316
E05012485,Saltford,2317
E05010472,Spinney Hills,2318
E05010287,Long Ashton,2319
E05009449,Central,2320
E05009972,Dawley & Aqueduct,2321
E05009160,Bodmin St Leonard,2322
E05012486,Southdown,2323
E05010473,Stoneygate,2324
E05010288,Nailsea Golden Valley,2325
E05009450,College,2326
E05009973,Donnington,2327
E05009161,Bodmin St Mary's,2328
E05012487,Timsbury,2329
E05010474,Thurncourt,2330
E05010289,Nailsea West End,2331
E05012957,Credenhill,2332
E05009974,Dothill,2333
E05012488,Twerton,2334
E05009162,Bodmin St Petroc,2335
E05012489,Walcot,2336
E05010475,Troon,2337
E05010290,Nailsea Yeo,2338
E05009163,"Breage, Germoe and Sithney",2339
E05012490,Westfield,2340
E05010476,Westcotes,2341
E05009452,Dinedor Hill,2342
E05009975,Edgmond & Ercall Magna,2343
E05010291,Nailsea Youngwood,2344
E05009164,Bude,2345
E05012491,Westmoreland,2346
E05010477,Western,2347
E05009976,Ercall,2348
E05010292,Pill,2349
E05009453,Eign Hill,2350
E05009165,Bugle,2351
E05012492,Weston,2352
E05010478,Wycliffe,2353
E05009977,Hadley & Leegomery,2354
E05010293,Portishead East,2355
E05009454,Golden Valley North,2356
E05009166,Callington,2357
E05012493,Widcombe & Lyncombe,2358
E05012632,Barleythorpe,2359
E05009978,Haygate,2360
E05010294,Portishead North,2361
E05009455,Golden Valley South,2362
E05009167,Camborne Pendarves,2363
E05010885,Ashley,2364
E05012633,Braunston & Martinsthorpe,2365
E05009979,Horsehay & Lightmoor,2366
E05010295,Portishead South,2367
E05009456,Greyfriars,2368
E05009168,Camborne Roskear,2369
E05010886,Avonmouth and Lawrence Weston,2370
E05009980,Ironbridge Gorge,2371
E05012634,Cottesmore,2372
E05010296,Portishead West,2373
E05009457,Hagley,2374
E05009169,Camborne Trelowarren,2375
E05010887,Bedminster,2376
E05009981,Ketley & Overdale,2377
E05012635,Exton,2378
E05010297,Weston-super-Mare South,2379
E05009458,Hampton,2380
E05010888,Bishopston and Ashley Down,2381
E05009982,Madeley & Sutton Hill,2382
E05012636,Greetham,2383
E05010298,Weston-super-Mare Central,2384
E05009459,Hinton & Hunderton,2385
E05010889,Bishopsworth,2386
E05009983,Malinslee & Dawley Bank,2387
E05012637,Ketton,2388
E05010299,Weston-super-Mare Hillside,2389
E05009460,Holmer,2390
E05010890,Brislington East,2391
E05009984,Muxton,2392
E05012638,Langham,2393
E05009461,Hope End,2394
E05010891,Brislington West,2395
E05009985,Newport North & West,2396
E05012639,Lyddington,2397
E05010892,Central,2398
E05009986,Newport South & East,2399
E05012640,Normanton,2400
E05009220,Newquay Treloggan,2401
E05009221,Newquay Tretherras,2402
E05008370,Malmesbury,2403
E05009222,Newquay Treviglas,2404
E05009223,Padstow,2405
E05009224,Par and St Blazey Gate,2406
E05008371,Marlborough East,2407
E05009225,Penryn East and Mylor,2408
E05012268,Tormohun,2409
E05008420,Winsley and Westwood,2410
E05008372,Marlborough West,2411
E05009270,Threemilestone and Gloweth,2412
E05009226,Penryn West,2413
E05012269,Wellswood,2414
E05008373,Melksham Central,2415
E05008421,Winterslow,2416
E05009271,Tintagel,2417
E05009227,Penwithick and Boscoppa,2418
E05009170,Camborne Treslothan,2419
E05012649,Alderney & Bourne Valley,2420
E05008374,Melksham North,2421
E05008422,Royal Wootton Bassett East,2422
E05009272,Torpoint East,2423
E05009228,Penzance Central,2424
E05009171,Camborne Treswithian,2425
E05012650,Bearwood & Merley,2426
E05008375,Melksham South,2427
E05008423,Royal Wootton Bassett North,2428
E05009273,Torpoint West,2429
E05009229,Penzance East,2430
E05009172,Camelford,2431
E05008966,Ridgeway,2432
E05012651,Boscombe East & Pokesdown,2433
E05012697,Dorchester Poundbury,2434
E05008376,Melksham Without North,2435
E05008424,Royal Wootton Bassett South,2436
E05009274,Trelawny,2437
E05009275,Truro Boscawen,2438
E05009276,Truro Redannick,2439
E05009277,Truro Tregolls,2440
E05009278,Truro Trehaverne,2441
E05009279,Wadebridge East,2442
E05009280,Wadebridge West,2443
E05011090,Bryher,2444
E05011091,St Agnes,2445
E05011092,St Martin's,2446
E05011093,St Mary's,2447
E05011094,Tresco,2448
E05002078,Budshead,2449
E05002079,Compton,2450
E05002080,Devonport,2451
E05002081,Drake,2452
E05002082,Efford and Lipson,2453
E05002083,Eggbuckland,2454
E05002084,Ham,2455
E05002085,Honicknowle,2456
E05002086,Moor View,2457
E05002087,Peverell,2458
E05002088,Plympton Chaddlewood,2459
E05002089,Plympton Erle,2460
E05002090,Plympton St Mary,2461
E05002091,Plymstock Dunstone,2462
E05002092,Plymstock Radford,2463
E05002093,St Budeaux,2464
E05002094,St Peter and the Waterfront,2465
E05002095,Southway,2466
E05002096,Stoke,2467
E05002097,Sutton and Mount Gould,2468
E05012254,Barton with Watcombe,2469
E05012255,Churston with Galmpton,2470
E05012256,Clifton with Maidenway,2471
E05012257,Cockington with Chelston,2472
E05012258,Collaton St Mary,2473
E05012259,Ellacombe,2474
E05012260,Furzeham with Summercombe,2475
E05012261,Goodrington with Roselands,2476
E05012262,King's Ash,2477
E05012263,Preston,2478
E05012264,Roundham with Hyde,2479
E05012265,St Marychurch,2480
E05012266,St Peter's with St Mary's,2481
E05012267,Shiphay,2482
E05012652,Boscombe West,2483
E05008967,Rodbourne Cheney,2484
E05008377,Melksham Without South,2485
E05012698,Dorchester West,2486
E05009173,"Carharrack, Gwennap and St Day",2487
E05009230,Penzance Promenade,2488
E05010805,Barnack,2489
E05012653,Bournemouth Central,2490
E05008968,St Andrews,2491
E05008378,Mere,2492
E05012699,Eggardon,2493
E05009174,"Chacewater, Kenwyn and Baldhu",2494
E05009231,Perranporth,2495
E05010806,Bretton,2496
E05012654,Broadstone,2497
E05008969,St Margaret and South Marston,2498
E05008379,Minety,2499
E05012700,Ferndown North,2500
E05009175,"Constantine, Mawnan and Budock",2501
E05009232,Pool and Tehidy,2502
E05010807,Central,2503
E05012655,Burton & Grange,2504
E05008970,Shaw,2505
E05008380,Nadder and East Knoyle,2506
E05012701,Ferndown South,2507
E05009176,Crowan and Wendron,2508
E05009233,Porthleven and Helston West,2509
E05010808,Dogsthorpe,2510
E05012656,Canford Cliffs,2511
E05008971,Walcot and Park North,2512
E05008381,Pewsey,2513
E05012702,Gillingham,2514
E05009177,Falmouth Arwenack,2515
E05009234,Poundstock,2516
E05010809,East,2517
E05012657,Canford Heath,2518
E05008972,Wroughton and Wichelstowe,2519
E05008382,Pewsey Vale,2520
E05012703,Hill Forts & Upper Tarrants,2521
E05009178,Falmouth Boslowick,2522
E05009235,"Probus, Tregony and Grampound",2523
E05010810,"Eye, Thorney and Newborough",2524
E05012658,Christchurch Town,2525
E05008327,Aldbourne and Ramsbury,2526
E05008383,Purton,2527
E05012704,Littlemoor & Preston,2528
E05009179,Falmouth Penwerris,2529
E05009236,Rame Peninsular,2530
E05010811,Fletton and Stanground,2531
E05012659,Commons,2532
E05008328,Alderbury and Whiteparish,2533
E05008384,Redlynch and Landford,2534
E05012705,Lyme & Charmouth,2535
E05009180,Falmouth Smithick,2536
E05009181,Falmouth Trescobeas,2537
E05009182,Feock and Playing Place,2538
E05009183,Four Lanes,2539
E05009184,Fowey and Tywardreath,2540
E05009185,Grenville and Stratton,2541
E05009186,Gulval and Heamoor,2542
E05009187,Gunnislake and Calstock,2543
E05009188,Gwinear-Gwithian and St Erth,2544
E05009189,Hayle North,2545
E05009190,Hayle South,2546
E05009191,Helston North,2547
E05009192,Helston South,2548
E05009193,Illogan,2549
E05009194,"Ladock, St Clement and St Erme",2550
E05009195,Lanivet and Blisland,2551
E05009196,Lanner and Stithians,2552
E05009197,Launceston Central,2553
E05009198,Launceston North and North Petherwin,2554
E05009199,Launceston South,2555
E05009200,Lelant and Carbis Bay,2556
E05009201,Liskeard East,2557
E05009202,Liskeard North,2558
E05009203,Liskeard West and Dobwalls,2559
E05009204,Looe East,2560
E05009205,"Looe West, Lansallos and Lanteglos",2561
E05009206,Lostwithiel,2562
E05009207,Ludgvan,2563
E05009208,Lynher,2564
E05009209,"Mabe, Perranarworthal and St Gluvias",2565
E05009210,Marazion and Perranuthnoe,2566
E05009211,Menheniot,2567
E05009212,Mevagissey,2568
E05009213,Mount Charles,2569
E05009214,Mount Hawke and Portreath,2570
E05009215,Mullion and Grade-Ruan,2571
E05009216,Newlyn and Goonhavern,2572
E05009217,Newlyn and Mousehole,2573
E05009218,Newquay Central,2574
E05009219,Newquay Pentire,2575
E05010812,Fletton and Woodston,2576
E05009237,Redruth Central,2577
E05008385,Roundway,2578
E05012660,Creekmoor,2579
E05010813,Glinton and Castor,2580
E05009238,Redruth North,2581
E05008386,Salisbury Bemerton,2582
E05012661,East Cliff & Springbourne,2583
E05010814,Gunthorpe,2584
E05008329,Amesbury East,2585
E05012706,Lytchett Matravers & Upton,2586
E05009239,Redruth South,2587
E05008387,Salisbury Fisherton and Bemerton Village,2588
