FID,PAR20CD,PAR20NM,PAR20NMW,LAD20CD,LAD20NM
1212,E04010720,"Wolsingham Park Moor lands cmn to Stanhope, Tow Law and Wolsingham",,E06000047,County Durham
1213,E04012580,Waverton,,E06000050,Cheshire West and Chester
1214,E04011224,Bitterley,,E06000051,Shropshire
1215,E04010927,Chorley (Wrenbury Ward),,E06000049,Cheshire East
1216,E04010980,Nether Alderley,,E06000049,Cheshire East
1217,E04011182,Upton-by-Chester,,E06000050,Cheshire West and Chester
1218,E04010721,Woodland,,E06000047,County Durham
1219,E04012581,Farndon,,E06000050,Cheshire West and Chester
1220,E04011225,Boningale,,E06000051,Shropshire
1221,E04010928,Chorlton,,E06000049,Cheshire East
1222,E04010981,Newbold Astbury,,E06000049,Cheshire East
1223,E04011186,Wervin,,E06000050,Cheshire West and Chester
1224,E04010722,Wycliffe with Thorpe,,E06000047,County Durham
1225,E04011226,Boraston,,E06000051,Shropshire
1226,E04012582,Delamere and Oakmere,,E06000050,Cheshire West and Chester
1227,E04011227,Boscobel,,E06000051,Shropshire
1228,E04011028,Woolstanwood,,E06000049,Cheshire East
1229,E04010929,Church Lawton,,E06000049,Cheshire East
1230,E04010723,Lands Common to Brancepeth and Brandon and Byshottles,,E06000047,County Durham
1231,E04011228,Bridgnorth,,E06000051,Shropshire
1232,E04012583,Dodleston,,E06000050,Cheshire West and Chester
1233,E04010982,Newhall,,E06000049,Cheshire East
