FID,PAR20CD,PAR20NM,PAR20NMW,LAD20CD,LAD20NM
1837,E04011567,St. Martin-in-Meneage,,E06000052,Cornwall
1838,E04011568,St. Mellion,,E06000052,Cornwall
1839,E04011569,St. Merryn,,E06000052,Cornwall
1840,E04011570,St. Mewan,,E06000052,Cornwall
1841,E04011571,St. Michael Caerhays,,E06000052,Cornwall
1842,E04011572,St. Michael Penkevil,,E06000052,Cornwall
1843,E04011573,St. Michael's Mount,,E06000052,Cornwall
1844,E04011347,Ruckley and Langley,,E06000051,Shropshire
1845,E04011649,Broad Chalke,,E06000054,Wiltshire
1846,E04011396,Worfield,,E06000051,Shropshire
1847,E04011492,Morwenstow,,E06000052,Cornwall
1848,E04011348,Rudge,,E06000051,Shropshire
1849,E04011592,Towednack,,E06000052,Cornwall
1850,E04011650,Broad Hinton,,E06000054,Wiltshire
1851,E04011397,Worthen with Shelve,,E06000051,Shropshire
1852,E04011493,Mullion,,E06000052,Cornwall
1853,E04011349,Rushbury,,E06000051,Shropshire
1854,E04011593,Tregoney,,E06000052,Cornwall
1855,E04011651,Broad Town,,E06000054,Wiltshire
1856,E04011398,Wroxeter and Uppington,,E06000051,Shropshire
1857,E04011494,Mylor,,E06000052,Cornwall
1858,E04011351,Ryton,,E06000051,Shropshire
1859,E04011594,Tremaine,,E06000052,Cornwall
1860,E04011652,Brokenborough,,E06000054,Wiltshire
1861,E04012254,Oswestry,,E06000051,Shropshire
1862,E04011495,Newquay,,E06000052,Cornwall
1863,E04011352,Selattyn and Gobowen,,E06000051,Shropshire
1864,E04011595,Treneglos,,E06000052,Cornwall
1865,E04011653,Bromham,,E06000054,Wiltshire
1866,E04012255,Oswestry Rural,,E06000051,Shropshire
1867,E04011496,North Hill,,E06000052,Cornwall
1868,E04011353,Shawbury,,E06000051,Shropshire
1869,E04011596,Tresmeer,,E06000052,Cornwall
1870,E04011655,Bulford,,E06000054,Wiltshire
1871,E04012256,Whittington,,E06000051,Shropshire
1872,E04011497,North Petherwin,,E06000052,Cornwall
1873,E04011354,Sheinton,,E06000051,Shropshire
1874,E04011597,Trevalga,,E06000052,Cornwall
1875,E04011656,Bulkington,,E06000054,Wiltshire
1876,E04012266,Ruyton-XI-Towns,,E06000051,Shropshire
1877,E04011498,North Tamerton,,E06000052,Cornwall
1878,E04011355,Sheriffhales,,E06000051,Shropshire
1879,E04011598,Treverbyn,,E06000052,Cornwall
1880,E04011657,Burbage,,E06000054,Wiltshire
1881,E04012267,West Felton,,E06000051,Shropshire
1882,E04011499,Otterham,,E06000052,Cornwall
1883,E04011500,Padstow,,E06000052,Cornwall
1884,E04011501,Paul,,E06000052,Cornwall
1885,E04011502,Pelynt,,E06000052,Cornwall
1886,E04011503,Penryn,,E06000052,Cornwall
1887,E04011504,Pentewan Valley,,E06000052,Cornwall
1888,E04011505,Penzance,,E06000052,Cornwall
1889,E04011506,Perranarworthal,,E06000052,Cornwall
1890,E04011507,Perranuthnoe,,E06000052,Cornwall
1891,E04011508,Perranzabuloe,,E06000052,Cornwall
1892,E04011509,Philleigh,,E06000052,Cornwall
1893,E04011510,Pillaton,,E06000052,Cornwall
1894,E04011511,Porthleven,,E06000052,Cornwall
1895,E04011512,Portreath,,E06000052,Cornwall
1896,E04011513,Poundstock,,E06000052,Cornwall
1897,E04011514,Probus,,E06000052,Cornwall
1898,E04011515,Quethiock,,E06000052,Cornwall
1899,E04011516,Redruth,,E06000052,Cornwall
1900,E04011517,Roche,,E06000052,Cornwall
1901,E04011518,Ruanlanihorne,,E06000052,Cornwall
1902,E04011519,Saltash,,E06000052,Cornwall
1903,E04011520,Sancreed,,E06000052,Cornwall
1904,E04011521,Sennen,,E06000052,Cornwall
1905,E04011522,Sheviock,,E06000052,Cornwall
1906,E04011523,Sithney,,E06000052,Cornwall
1907,E04011658,Burcombe Without,,E06000054,Wiltshire
1908,E04011599,Trewen,,E06000052,Cornwall
1909,E04012659,Abdon and Heath,,E06000051,Shropshire
1910,E04011659,Buttermere,,E06000054,Wiltshire
1911,E04011600,Truro,,E06000052,Cornwall
1912,E04011399,Advent,,E06000052,Cornwall
1913,E04011662,Castle Combe,,E06000054,Wiltshire
1914,E04011601,Tywardreath and Par,,E06000052,Cornwall
1915,E04011400,Altarnun,,E06000052,Cornwall
1916,E04011663,Chapmanslade,,E06000054,Wiltshire
1917,E04011602,Veryan,,E06000052,Cornwall
1918,E04011401,Antony,,E06000052,Cornwall
1919,E04011664,Charlton (Brinkworth Ward),,E06000054,Wiltshire
1920,E04011603,Wadebridge,,E06000052,Cornwall
1921,E04011402,Blisland,,E06000052,Cornwall
1922,E04011665,Charlton (Upavon Ward),,E06000054,Wiltshire
1923,E04011604,Warbstow,,E06000052,Cornwall
1924,E04011403,Boconnoc,,E06000052,Cornwall
1925,E04011666,Cherhill,,E06000054,Wiltshire
1926,E04011605,Warleggan,,E06000052,Cornwall
1927,E04011404,Bodmin,,E06000052,Cornwall
1928,E04011667,Cheverell Magna,,E06000054,Wiltshire
1929,E04011606,Week St. Mary,,E06000052,Cornwall
1930,E04011405,Botusfleming,,E06000052,Cornwall
1931,E04011668,Cheverell Parva,,E06000054,Wiltshire
1932,E04011607,Wendron,,E06000052,Cornwall
1933,E04011406,Boyton,,E06000052,Cornwall
1934,E04011669,Chicklade,,E06000054,Wiltshire
1935,E04011608,Werrington,,E06000052,Cornwall
